,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a[0],-1.339,0.162,-1.633,-1.023,0.003,0.002,3863.0,3417.0,1.0
a[1],-0.242,0.107,-0.448,-0.047,0.001,0.001,7830.0,5766.0,1.0
b_sh[0],-0.032,0.238,-0.482,0.407,0.003,0.003,8262.0,6250.0,1.0
b_sh[1],-0.378,0.193,-0.755,-0.028,0.002,0.002,7577.0,5950.0,1.0
sigma[0],0.392,0.269,0.0,0.861,0.007,0.004,1336.0,1734.0,1.0
sigma[1],0.48,0.244,0.001,0.872,0.009,0.004,725.0,682.0,1.0
